show_id,type,title,director,cast,country,release_year,listed_in
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby","Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson","United States, India, South Korea, China",2019,"Children & Family Movies, Comedies"
80117401,Movie,Jandino: Whatever it Takes,,Jandino Asporaat,United Kingdom,2016,Stand-Up Comedy
70234439,TV Show,Transformers Prime,,"Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle",United States,2013,Kids' TV
80058654,TV Show,Transformers: Robots in Disguise,,"Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen",United States,2016,Kids' TV
80125979,Movie,#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,2017,Comedies
80163890,TV Show,Apaches,,"Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac",Spain,2016,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
70304989,Movie,Automata,Gabe Ibáñez,"Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall","Bulgaria, United States, Spain, Canada",2014,"International Movies, Sci-Fi & Fantasy, Thrillers"
80164077,Movie,Fabrizio Copano: Solo pienso en mi,"Rodrigo Toro, Francisco Schultz",Fabrizio Copano,Chile,2017,Stand-Up Comedy
80117902,TV Show,Fire Chasers,,,United States,2017,"Docuseries, Science & Nature TV"
70304990,Movie,Good People,Henrik Ruben Genz,"James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh","United States, United Kingdom, Denmark, Sweden",2014,"Action & Adventure, Thrillers"
80169755,Movie,Joaquín Reyes: Una y no más,José Miguel Contreras,Joaquín Reyes,,2017,Stand-Up Comedy
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik","Netherlands, Belgium, United Kingdom, United States",2015,"Action & Adventure, Dramas, International Movies"
80182480,Movie,Krish Trish and Baltiboy,,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,2009,Children & Family Movies
80182483,Movie,Krish Trish and Baltiboy: Battle of Wits,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra",,2013,Children & Family Movies
80182596,Movie,Krish Trish and Baltiboy: Best Friends Forever,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Deepak Chachra",,2016,Children & Family Movies
80182482,Movie,Krish Trish and Baltiboy: Comics of India,Tilak Shetty,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,2012,Children & Family Movies
80182597,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,Tilak Shetty,"Rishi Gambhir, Smita Malhotra, Deepak Chachra",,2017,Children & Family Movies
80182481,Movie,Krish Trish and Baltiboy: Part II,,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,2010,Children & Family Movies
80182621,Movie,Krish Trish and Baltiboy: The Greatest Trick,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,2013,Children & Family Movies
80057969,Movie,Love,Gaspar Noé,"Karl Glusman, Klara Kristin, Aomi Muyock, Ugo Fox, Juan Saavedra, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy","France, Belgium",2015,"Cult Movies, Dramas, Independent Movies"
80060297,Movie,Manhattan Romance,Tom O'Brien,"Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier",United States,2014,"Comedies, Independent Movies, Romantic Movies"
80046728,Movie,Moonwalkers,Antoine Bardou-Jacquet,"Ron Perlman, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte","France, Belgium",2015,"Action & Adventure, Comedies, International Movies"
80046727,Movie,Rolling Papers,Mitch Dickman,,"United States, Uruguay",2015,Documentaries
